clusterno,tweetd
2378,1056733222799921152
2379,1112662367018586112
2380,1056734230359826434
2381,1056224877496033280
2382,1056224269942681600
2383,1056206412278190082
2384,1108857014833369090
2385,1055896866037096450
2386,1055894409785556993
2387,1112708453431234560
2388,1112368980084383744
2389,1055816557123772416
2390,1055809832157097984
2391,1055806956479414273
2392,1055433270916198400
2393,1112181699687911427
2394,1112123894813601794
2395,1055449436984352769
2396,1112633196125016066
2397,1062359726384705537
2398,1055423820255977473
2399,1059942949633605637
2400,1059886515462004739
2401,1112055398469718016
2402,1111413922249076736
2403,1110727497270902785
2404,1055204907454730240
2405,1111439103071911942
2406,1055141034731192322
2407,1055108206933016578
2408,1055090778463264768
2409,1054690473430974464
2410,1054482758893031426
2411,1054025356485656578
2412,1052945976506372096
2413,1052939148116590592
2414,1052939080147841024
2415,1060612601170853888
2416,1112414776582422528
2417,1112022691647799296
2418,1112035641183924225
2419,1066811912925691904
2420,1051909290242527233
2421,1060540684149645313
2422,1060535007855276032
2423,1060538143068299264
2424,1104374679387729920
2425,1100401849629331456
2426,1060526113208913920
2427,1060983574516637696
2428,1060551202826608640
2429,1060516369370963969
2430,1060476198269136896
2431,1060511524517756928
2432,1060503759434997760
2433,1060495255559172096
2434,1110883484619415552
2435,1090028035649228800
2436,1060491657701982208
2437,1060490497356115968
2438,1060470691395485697
2439,1060481102371020800
2440,1060478066764455936
2441,1060472930856038400
2442,1083014760118079488
2443,1082284375671222272
2444,1060449595300478976
2445,1060429462221832192
2446,1060424429371453441
2447,1060278668776407051
2448,1060252473250725890
2449,1060130995918303233
2450,1060068408899915776
2451,1060369064252428288
2452,1060301432581169152
2453,1112705704161394688
2454,1060018857329483776
2455,1059742183996026880
2456,1112002816107859969
2457,1111832941276086273
2458,1060419396051423232
2459,1060551281725595648
2460,1111449663213879296
2461,1111327201197281284
2462,1055851719467429888
2463,1055839028363321345
2464,1060414362744107009
2465,1055118544223068160
2466,1055052128811671557
2467,1060399263295959040
2468,1109131528129400832
2469,1060447078583799808
2470,1060379491074220032
2471,1110545241252220929
2472,1110167077397188610
2473,1060337549347041280
2474,1109816680463716352
2475,1055186268945027079
2476,1060336368268857345
2477,1063454951400226817
2478,1062350604918497282
2479,1060335702997639169
2480,1063458689418502145
2481,1060359605182709762
2482,1060334571387056128
2483,1060380137538179072
2484,1060355347066638337
2485,1060324699702468609
2486,1060323507752628224
2487,1060311183012450304
2488,1060308806196977665
2489,1060299525527613441
2490,1060276586321248279
2491,1060276017665843202
2492,1060274255978528770
